codigo;titulo;duracion;album;interprete
34535;Dead Promises;5:52;Extra Raw;Nigthwish
65454;Beautiful Lies;4:10;Heart of the Hurricane;Beyond the Black
23355;Faster;4:24;The Unforgiving;Within Temptation
25355;Circle in the Sand;4:27;Heaven on Earth;Belinda Carlisle
65446;Esclavo y Amo;2:57;Los Boleros Morunos Solis;Javier Solis
93474;Perdi la Pose;2:38;No pongan esas Canciones;Espinosa Paz
18383;Separate Ways;5:24;Frontiers;Journey
28374;Sweet Child O' Mine;5:55;Appetite For Destruction;Guns N' Roses
83746;Dangerous;3:49;Look Sharp;Roxette
73642;Esos Ojitos Negros;5:00;25th Anniversary;El Gran Combo de Puerto Rico
53353;Ana Milé;5:38;Lo Que Diga el Corazón;Grupo Niche
32455;Achilipú;4:42;Sin Salsa no hay Paraiso;El Gran Combo de Puerto Rico
77283;Bring Me To Life;3:55;Fallen;Evanescense
21973;Bendita Duda;4:19;30 Mejores;Otto Serge
90893;Ever Dream;4:43;Century Child;Nigthwish
36464;Until My Last Breath;4:24;What Lies Beneath;Nigthwish
76540;Paradise;5:19;Hydra;Within Temptation
43645;Listen To Your Hearth;5:28;Look Sharp;Roxette
65456;Ven Devórame Otra Vez;5:12;Sabor a Salsa;Lalo Rodriguez
